,Ссылка,Метро,Время до метро,Общая площадь,Жилая площадь,Этаж,Этажность дома,Срок сдачи,Ванная,Ремонт,Цена
77,https://www.cian.ru/rent/flat/275769663/,Пионерская,7.0,34.0,18.0,1.0,9.0,1965.0,1 раздельный,Косметический,41000.0
78,https://www.cian.ru/rent/flat/182911455/,Охотный ряд,8.0,27.0,25.0,8.0,8.0,1976.0,1 совмещенный,Дизайнерский,280000.0
79,https://www.cian.ru/rent/flat/249999499/,Селигерская,4.0,33.0,,21.0,21.0,2018.0,,Дизайнерский,79900.0
80,https://www.cian.ru/rent/flat/275524907/,Текстильщики,9.0,35.0,,6.0,10.0,,1 совмещенный,,48000.0
81,https://www.cian.ru/rent/flat/169094456/,Пражская,15.0,39.0,20.9,11.0,14.0,1975.0,1 раздельный,Косметический,28000.0
82,https://www.cian.ru/rent/flat/275785487/,Печатники,3.0,42.0,,15.0,17.0,2006.0,1 совмещенный,Косметический,39000.0
83,https://www.cian.ru/rent/flat/275287820/,Беговая,2.0,42.0,20.0,25.0,40.0,2010.0,1 совмещенный,Дизайнерский,75000.0
84,https://www.cian.ru/rent/flat/275838226/,улица Народного ополчения,8.0,44.0,,18.0,20.0,2002.0,1 совмещенный,Евроремонт,35000.0
85,https://www.cian.ru/rent/flat/275836757/,Технопарк,,26.0,16.0,22.0,25.0,2022.0,1 совмещенный,Дизайнерский,65340.0
86,https://www.cian.ru/rent/flat/271895354/,Маяковская,6.0,40.0,30.0,1.0,7.0,,1 совмещенный,Косметический,100000.0
87,https://www.cian.ru/rent/flat/272733130/,Китай-город,4.0,40.0,25.0,2.0,6.0,1893.0,1 совмещенный,Евроремонт,65000.0
88,https://www.cian.ru/rent/flat/275665465/,Улица 1905 года,,43.0,29.0,32.0,44.0,,1 совмещенный,Дизайнерский,95000.0
89,https://www.cian.ru/rent/flat/254679539/,Сходненская,7.0,35.0,20.0,4.0,9.0,1970.0,1 совмещенный,Евроремонт,42000.0
90,https://www.cian.ru/rent/flat/275491275/,Щелковская,4.0,30.0,20.0,2.0,5.0,1958.0,1 раздельный,Косметический,36000.0
91,https://www.cian.ru/rent/flat/272554821/,Выставочная,6.0,40.0,18.0,6.0,12.0,,1 совмещенный,Косметический,80000.0
92,https://www.cian.ru/rent/flat/274827267/,Озерная,15.0,37.0,20.0,10.0,14.0,2002.0,1 совмещенный,Косметический,30000.0
93,https://www.cian.ru/rent/flat/273249529/,Авиамоторная,15.0,22.0,18.0,6.0,10.0,2021.0,,Евроремонт,48000.0
94,https://www.cian.ru/rent/flat/271491352/,Смоленская,7.0,41.3,,10.0,13.0,,1 раздельный,,180000.0
95,https://www.cian.ru/rent/flat/275845108/,Солнцево,18.0,38.0,21.0,5.0,9.0,1973.0,1 раздельный,Косметический,25000.0
96,https://www.cian.ru/rent/flat/274970577/,Новоясеневская,20.0,38.0,20.0,5.0,17.0,2013.0,1 раздельный,Косметический,25000.0
97,https://www.cian.ru/rent/flat/249414811/,Университет,16.0,33.0,18.0,1.0,5.0,1962.0,1 совмещенный,Евроремонт,42000.0
98,https://www.cian.ru/rent/flat/275779129/,Бескудниково,11.0,44.5,11.0,25.0,32.0,2006.0,1 совмещенный,Дизайнерский,50000.0
99,https://www.cian.ru/rent/flat/275012952/,Фили,13.0,30.2,,13.0,25.0,2017.0,1 совмещенный,Дизайнерский,65000.0
100,https://www.cian.ru/rent/flat/271766051/,Перово,7.0,35.0,,4.0,5.0,1964.0,,Косметический,29000.0
101,https://www.cian.ru/rent/flat/275649421/,Некрасовка,10.0,38.0,,4.0,17.0,,1 совмещенный,Косметический,33000.0
102,https://www.cian.ru/rent/flat/272910262/,Выставочная,12.0,32.0,20.0,1.0,5.0,1960.0,1 совмещенный,Косметический,30000.0
103,https://www.cian.ru/rent/flat/275807365/,Речной вокзал,15.0,50.0,22.0,4.0,10.0,2003.0,1 совмещенный,Евроремонт,42000.0
104,https://www.cian.ru/rent/flat/275329502/,Ольховая,7.0,34.1,16.0,3.0,17.0,,1 совмещенный,Косметический,28000.0
105,https://www.cian.ru/rent/flat/275882211/,Чертановская,17.0,39.0,19.0,11.0,14.0,1984.0,1 раздельный,Косметический,35000.0
106,https://www.cian.ru/rent/flat/275828205/,Братиславская,17.0,40.0,21.0,1.0,15.0,2001.0,1 совмещенный,Косметический,35000.0
107,https://www.cian.ru/rent/flat/275777559/,Новаторская,12.0,36.0,19.0,4.0,16.0,1983.0,1 совмещенный,Косметический,36000.0
108,https://www.cian.ru/rent/flat/274390377/,Окская,15.0,38.0,20.0,6.0,12.0,1967.0,1 совмещенный,Косметический,30000.0
109,https://www.cian.ru/rent/flat/275848680/,Депо,10.0,38.0,19.0,2.0,16.0,,1 совмещенный,Косметический,35000.0
110,https://www.cian.ru/rent/flat/167267881/,Теплый Стан,16.0,31.9,18.0,6.0,12.0,1973.0,1 совмещенный,Косметический,30000.0
111,https://www.cian.ru/rent/flat/274549282/,Выставочная,3.0,38.0,,42.0,75.0,2013.0,1 раздельный,Дизайнерский,180000.0
112,https://www.cian.ru/rent/flat/275520952/,Аминьевская,6.0,42.0,15.0,6.0,37.0,2021.0,1 совмещенный,,80000.0
